username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WESH;2017-08-31 08:30;2;2;"Harvey downgraded to tropical depression ; death toll rises above 30​ http:// bit.ly/2esdLsu pic.twitter.com/dDq2aT7b1t";;;;"903248551551127552";https://twitter.com/WESH/status/903248551551127552
candodem;2017-08-31 08:29;0;0;"@CBSSports @CBS @CBSNews CBS is putting fans & players of @MemphisFB in jeopardy by forcing us to play in #Harvey tropical depression pls RT";;@CBSSports @CBS @CBSNews @MemphisFB;#Harvey;"903248492411289601";https://twitter.com/candodem/status/903248492411289601
NOLAnews;2017-08-31 08:27;13;4;"Tropical Depression Harvey weakens as it moves through north Louisiana http:// trib.al/hmo3uX4";;;;"903247878902173697";https://twitter.com/NOLAnews/status/903247878902173697
daphne_deloren;2017-08-31 08:27;6;9;"Tropical Depression Harvey Inches Closer to Middle Tennessee https:// 4warnweather.wordpress.com/2017/08/31/tro pical-depression-harvey-inches-closer-to-middle-tennessee/ … pic.twitter.com/XbYjyQY4V0";;;;"903247847486885889";https://twitter.com/daphne_deloren/status/903247847486885889
thisisthedeal;2017-08-31 08:23;0;0;"Harvey was downgraded to a tropical depression . The Xanax must have worked;)";;;;"903246795261739008";https://twitter.com/thisisthedeal/status/903246795261739008
cbinflux;2017-08-31 08:20;0;0;"Tropical Depression Harvey : Mermphis now in the crosshairs. OH, LAWDY!!!! https://www. cbsnews.com/news/harvey-tr opical-depression-heads-toward-memphis-catastrophic-flooding/?ftag=CNM-00-10aac3a …";;;;"903246204947091456";https://twitter.com/cbinflux/status/903246204947091456
ContactRelief;2017-08-31 08:15;0;0;"Harvey moves on, weakens to tropical depression https://www. contactrelief.com/media/harvey-n ow-tropical-depression-2017-08-30-1900 …";;;;"903244934987358208";https://twitter.com/ContactRelief/status/903244934987358208
butstories;2017-08-31 08:13;0;0;"Tropical Depression Harvey weakens as it moves through north Louisiana http:// newsbut.com/tropical-depre ssion-harvey-weakens-as-it-moves-through-north-louisiana/ …";;;;"903244228586819585";https://twitter.com/butstories/status/903244228586819585
webmasterfree;2017-08-31 08:12;0;0;"How to navigate insurance claims, post-Hurricane Harvey : Tropical Depression Harvey … https:// goo.gl/fb/bDZgqY";;;;"903244034784858112";https://twitter.com/webmasterfree/status/903244034784858112
Jeffrey_L_Watts;2017-08-31 08:11;0;1;"Tropical Depression Harvey expected to my area of southwest Kentucky tonight and into tomorrow. Up to 5 inches of rain possible.";;;;"903243971979354112";https://twitter.com/Jeffrey_L_Watts/status/903243971979354112
svklvo;2017-08-31 08:11;0;0;"Tropical Depression Harvey weakens as it moves through north Louisiana http:// s.nola.com/yBGmdvf";;;;"903243778840043521";https://twitter.com/svklvo/status/903243778840043521
carlie_kollath;2017-08-31 08:07;1;0;"Tropical Depression Harvey weakens as it moves through north Louisiana http:// bit.ly/2iLiOFJ #harvey #Louisiana pic.twitter.com/aa4VNoc7XL";;;#harvey #Louisiana;"903242820701618176";https://twitter.com/carlie_kollath/status/903242820701618176
NewsBossIndia;2017-08-31 08:06;0;0;"Hurricane Harvey weakens to tropical depression .. http://www. mid-day.com/articles/hurri cane-harvey-weakens-to-tropical-depression/18543153 …";;;;"903242661187829760";https://twitter.com/NewsBossIndia/status/903242661187829760
_raysor;2017-08-31 08:03;0;0;"Tropical Depression Harvey batters Texas https:// usat.ly/2xOl1mw via @usatoday";;@usatoday;;"903241744896098304";https://twitter.com/_raysor/status/903241744896098304
AlexaLiacko;2017-08-31 08:00;1;0;"TROPICAL DEPRESSION HARVEY : Harvey moving into Mississippi Valley today. That area, along w KY &AR may see up to 4" of rain. TN may see 10". pic.twitter.com/oD1lD8gGqL";;;;"903240957075656704";https://twitter.com/AlexaLiacko/status/903240957075656704
NowTrendingTV;2017-08-31 07:58;0;0;"Harvey now tropical depression , but catastrophic flooding continues -- live updates https://www. cbsnews.com/news/houston-f lood-hurricane-harvey-30-aug-live-updates/ … http:// fb.me/6mX7Av3zY";;;;"903240687746985984";https://twitter.com/NowTrendingTV/status/903240687746985984
NowTrendingTV;2017-08-31 07:58;0;0;"Harvey now tropical depression , but catastrophic flooding continues -- live updates https://www. cbsnews.com/news/houston-f lood-hurricane-harvey-30-aug-live-updates/ …";;;;"903240621263134721";https://twitter.com/NowTrendingTV/status/903240621263134721
ryankailath;2017-08-31 07:56;0;1;"also news orgs reporting on Harvey 's change from hurricane to tropical storm to tropical depression is just so useless and misleading.";;;;"903240000120266752";https://twitter.com/ryankailath/status/903240000120266752
