"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4316","RT @BuzzFeedNews: Latest on Harvey:
• Downgraded to a tropical depression
• Threat from flooding remains 
• At least 35 people killed https…",FALSE,0,NA,2017-08-31 00:27:46,FALSE,NA,"903051651287625729",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mlamontenegro",20,TRUE,FALSE,NA,NA
"4317","NEW: Harvey is now a tropical depression, Hurricane Center says. ""Catastrophic and life-threatening flooding contin… https://t.co/ApiHQdXyIJ",FALSE,7,NA,2017-08-31 00:27:44,TRUE,NA,"903051645432549377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteveKopack",8,FALSE,FALSE,NA,NA
"4318","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:44,FALSE,NA,"903051642836205568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thereal100mile",619,TRUE,FALSE,NA,NA
"4319","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:43,FALSE,NA,"903051640927686656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","henry_957",619,TRUE,FALSE,NA,NA
"4320","RT @businessinsider: UPDATED: #Harvey is now a tropical depression, at least 38 dead, Texas &amp; Louisiana hit w/ 'catastrophic' flooding http…",FALSE,0,NA,2017-08-31 00:27:41,FALSE,NA,"903051631847243776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PablofRuggeri",38,TRUE,FALSE,NA,NA
"4321","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:39,FALSE,NA,"903051623794184195",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MorganDavii",619,TRUE,FALSE,NA,NA
"4322","RT @NBCNews: JUST IN: Harvey weakens to a Tropical Depression. Read more: https://t.co/o01IHmhBYF https://t.co/Kj14HuVUH7",FALSE,0,NA,2017-08-31 00:27:39,FALSE,NA,"903051621294370817",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AVT470BUG",95,TRUE,FALSE,NA,NA
"4323","RT @USATODAY: #BREAKING Harvey has been downgraded to a tropical depression, National Weather Service says https://t.co/zDVC3crsE7",FALSE,0,NA,2017-08-31 00:27:37,FALSE,NA,"903051614017040384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TRGG0101",78,TRUE,FALSE,NA,NA
"4324","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:35,FALSE,NA,"903051605792235520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","S_Hill23",619,TRUE,FALSE,NA,NA
"4325","RT @NHC_Atlantic: Tropical Depression #Harvey Advisory 42A: Now available on the NHC website. https://t.co/VqHn0uj6EM",FALSE,0,NA,2017-08-31 00:27:35,FALSE,NA,"903051605259497472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mel_Storni",59,TRUE,FALSE,NA,NA
"4326","RT @USATODAY: #BREAKING Harvey has been downgraded to a tropical depression, National Weather Service says https://t.co/zDVC3crsE7",FALSE,0,NA,2017-08-31 00:27:35,FALSE,NA,"903051604705898496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChronicAngelica",78,TRUE,FALSE,NA,NA
"4327","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:33,FALSE,NA,"903051596594114560",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BWolmers",619,TRUE,FALSE,NA,NA
"4328","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:32,FALSE,NA,"903051591816806400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeannAcuna",619,TRUE,FALSE,NA,NA
"4329","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:30,FALSE,NA,"903051583499460609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","msr_xfiles",619,TRUE,FALSE,NA,NA
"4330","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:29,FALSE,NA,"903051579523297280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jcmarbury",619,TRUE,FALSE,NA,NA
"4331","Latest on Harvey:
• Downgraded to a tropical depression
• Threat from flooding remains 
• At least 35 people killed https://t.co/BRGq1j3awo",FALSE,30,NA,2017-08-31 00:27:29,FALSE,NA,"903051579422416896",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BuzzFeedNews",20,FALSE,FALSE,NA,NA
"4332","RT @weatherchannel: Harvey has weakened to a depression, but catastrophic flooding continues in southeast Texas and southwest Louisiana: ht…",FALSE,0,NA,2017-08-31 00:27:28,FALSE,NA,"903051578957017088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","bendee331x",161,TRUE,FALSE,NA,NA
"4333","""Harvey Weakens to a Tropical Depression-U.S. Hurricane Center"" by REUTERS via NYT https://t.co/9MtibUbLGZ",FALSE,0,NA,2017-08-31 00:27:21,FALSE,NA,"903051548447711232",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","NoahAmico",0,FALSE,FALSE,NA,NA
"4334","https://t.co/NMbHGcuRMY National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues #Hea…",FALSE,0,NA,2017-08-31 00:27:20,FALSE,NA,"903051544014331905",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","WorldUSNews",0,FALSE,FALSE,NA,NA
"4335","RT @USATODAY: #BREAKING Harvey has been downgraded to a tropical depression, National Weather Service says https://t.co/zDVC3crsE7",FALSE,0,NA,2017-08-31 00:27:20,FALSE,NA,"903051542001016832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisCuomo",78,TRUE,FALSE,NA,NA
